Enter name of dump file: f got: fs, but expected |?
fish feed got: fish feeds, but expected |?
fibropapillomatosis got: fibropapillomatoses, but expected |?
cafiso got: cafisoes, but expected 
scare-the-birds got: scare-the-birdses, but expected |?
same same got: same sames, but expected |?
returnal got: returnals, but expected |?
hammer bench got: hammer benchs, but expected |es
pill-box got: pill-boxs, but expected |es
icestone got: icestones, but expected |?
wirephoto got: wirephotoes, but expected 
woolworks got: woolworkses, but expected |woolworks
EBV got: EBVs, but expected |es
cofolding got: cofoldings, but expected |?
dedoubling got: dedoublings, but expected |?
cafiz got: cafizzes, but expected |es
caffiso got: caffisoes, but expected 
rottolo got: rottoloes, but expected |s|rottoli
erythrolysis got: erythrolyses, but expected |?
oxoprolinuria got: oxoprolinurias, but expected |?
panencephalitis got: panencephalitises, but expected |panencephalitides
holobasidium got: holobasidiums, but expected |holobasidia
autobasidium got: autobasidiums, but expected |autobasidia
homobasidium got: homobasidiums, but expected |homobasidia
hypobasidium got: hypobasidiums, but expected |hypobasidia
epibasidium got: epibasidiums, but expected |epibasidia
probasidium got: probasidiums, but expected |probasidia
metabasidium got: metabasidiums, but expected |metabasidia
triarch got: triarches, but expected |s
diarch got: diarches, but expected |s
planidium got: planidiums, but expected |planidia
carboxamido got: carboxamidoes, but expected 
pyridylazo got: pyridylazoes, but expected 
merosporangium got: merosporangiums, but expected |merosporangia
sporangiolum got: sporangiolums, but expected |sporangiola
RFV got: RFVs, but expected |?
cobra effect got: cobra effects, but expected |?
tubbo got: tubboes, but expected 
cash-in got: cashes-in, but expected 
aling-aling got: aling-alings, but expected |?
isimbongi got: isimbongis, but expected |izimbongi
cyclobutylmethoxy got: cyclobutylmethoxies, but expected 
CTZ got: CTZs, but expected |?
pasty tax got: pasty taxs, but expected |es
swim-off got: swims-off, but expected 
stroll in the park got: stroll in the parks, but expected |?
mureidomycin got: mureidomycins, but expected |?
nimbidin got: nimbidins, but expected |?
oxoerythromycin got: oxoerythromycins, but expected |?
almond potato got: almond potatos, but expected |es
waterguard got: waterguards, but expected |?
cephalodium got: cephalodiums, but expected |cephalodia
bonus genius got: bonus geniuses, but expected |?
garden nightshade got: garden nightshades, but expected |?
carbro got: carbroes, but expected 
fundatrix got: fundatrixes, but expected |fundatrices
virginopara got: virginoparas, but expected |virginoparae
microdrag got: microdrags, but expected |?
microgyration got: microgyrations, but expected |?
weightbearing got: weightbearings, but expected |?
daddy long-legs got: daddy long-legses, but expected 
MOTW got: MOTWs, but expected |?
exhibition match got: exhibition matchs, but expected |es
snowflake generation got: snowflake generations, but expected |?
so on got: soes on, but expected |?
status mixtus got: status mixtuses, but expected |?
YORP effect got: YORP effects, but expected |?
swarthaak got: swarthaaks, but expected |?
run-out got: runs-out, but expected 
diacylamino got: diacylaminoes, but expected 
Cinderella effect got: Cinderella effects, but expected |?
Cinderella complex got: Cinderella complexs, but expected |es
white bear problem got: white bear problems, but expected |?
ironic process theory got: ironic process theorys, but expected |?
cushion gum got: cushion gums, but expected |?
promulsis got: promulses, but expected |?
isopropyloxy got: isopropyloxies, but expected |?
igqira got: igqiras, but expected |?
chylde got: chyldes, but expected |?
nitrophenoxy got: nitrophenoxies, but expected 
pentafluoro got: pentafluoroes, but expected 
stench trench got: stench trenchs, but expected |es
phenylimino got: phenyliminoes, but expected 
piasaba got: piasabas, but expected |?
cahoun got: cahouns, but expected |?
corocoro got: corocoroes, but expected 
cytesin got: cytesins, but expected |?
chrysosporium got: chrysosporiums, but expected |chrysosporia
pyridylamino got: pyridylaminoes, but expected 
triurea got: triureas, but expected |?
caillach got: caillaches, but expected 
cailliach got: cailliaches, but expected 
carpogonium got: carpogoniums, but expected |carpogonia
chainworks got: chainworkses, but expected |chainworks
chedite got: chedites, but expected |?
TETS got: TETSs, but expected |?
final frontier got: final frontiers, but expected |?
acylhydroxyamino got: acylhydroxyaminoes, but expected 
alkyloxy got: alkyloxies, but expected 
allylindigo got: allylindigoes, but expected 
allyloxy got: allyloxies, but expected 
zajal got: zajals, but expected |?
nice-to-have got: nices-to-have, but expected |head=[[nice]]-to-[[have]]
anhydroglucose got: anhydroglucoses, but expected |?
anilino got: anilinoes, but expected 
arabino got: arabinoes, but expected 
arylazo got: arylazoes, but expected 
Junt. got: Junt.s, but expected |?
azepino got: azepinoes, but expected 
Saraguro got: Saraguroes, but expected 
D.Phil. got: D.Phil.s, but expected |?
azolo got: azoloes, but expected 
hoplo got: hoploes, but expected 
hexarch got: hexarches, but expected |s
huaquero got: huaqueroes, but expected 
non-party got: non-partys, but expected |head=[[non-]][[party]]|non-parties
hymenopteron got: hymenopterons, but expected |hymenoptera
benzoyloxy got: benzoyloxies, but expected 
carbonyloxy got: carbonyloxies, but expected 
chromeno got: chromenoes, but expected 
cyanoethoxy got: cyanoethoxies, but expected 
bitch-out got: bitches-out, but expected 
poeticks got: poetickses, but expected |poeticks
decoiling got: decoilings, but expected |?
xató got: xatós, but expected |?
hypo-osmolality got: hypo-osmolalitys, but expected |hypo-osmolalities
hyper-osmolality got: hyper-osmolalitys, but expected |hyper-osmolalities
diazirino got: diazirinoes, but expected 
dihydroazepino got: dihydroazepinoes, but expected 
dihydroazolo got: dihydroazoloes, but expected 
dihydrobenzo got: dihydrobenzoes, but expected 
dihydropyrazolo got: dihydropyrazoloes, but expected 
pyrazolo got: pyrazoloes, but expected 
diisocyanato got: diisocyanatoes, but expected 
isocyanato got: isocyanatoes, but expected 
diisopropylamino got: diisopropylaminoes, but expected 
dipyrrolo got: dipyrroloes, but expected 
epoxyazepino got: epoxyazepinoes, but expected 
haloalkoxy got: haloalkoxies, but expected 
hexylamino got: hexylaminoes, but expected 
indazolo got: indazoloes, but expected 
integramycin got: integramycins, but expected |?
isoedunol got: isoedunols, but expected |?
edunol got: edunols, but expected |?
methoxyimino got: methoxyiminoes, but expected 
methylanilino got: methylanilinoes, but expected 
monoazido got: monoazidoes, but expected 
maj. got: maj.s, but expected |?
pentaquadrupole got: pentaquadrupoles, but expected |?
bit between one's teeth got: bit between one's teeths, but expected |?
phenyloxy got: phenyloxies, but expected 
S-box got: S-boxs, but expected |es
weredingo got: weredingoes, but expected 
mutility got: mutilities, but expected |?
Ravenna grass got: Ravenna grasses, but expected |?
one thing after another got: one thing after anothers, but expected |?
nothing-buttery got: nothing-butterys, but expected |nothing-butteries
kecak got: kecaks, but expected |?
pinacolato got: pinacolatoes, but expected 
bowlas got: bowlases, but expected 
polyserine got: polyserines, but expected |?
polytyrosine got: polytyrosines, but expected |?
pyrazino got: pyrazinoes, but expected 
pyrido got: pyridoes, but expected 
quinazolino got: quinazolinoes, but expected 
tetrazolo got: tetrazoloes, but expected 
thiotetracene got: thiotetracenes, but expected |?
triazolo got: triazoloes, but expected 
trifluoroacetoxy got: trifluoroacetoxies, but expected 
240000
heikegani got: heikeganis, but expected |heikegani
thyrotoxicosis factitia got: thyrotoxicosis factitias, but expected |?
vaccinum got: vaccinums, but expected |?
timestepping got: timesteppings, but expected |?
scalarvac got: scalarvacs, but expected |?
fuckabilly got: fuckabillies, but expected |?
whiteflaw got: whiteflaws, but expected |?
Bangsamoro got: Bangsamoroes, but expected 
wavebreaking got: wavebreakings, but expected |?
melinjo got: melinjoes, but expected |?
hopniss got: hopnisses, but expected |?
thirty-thirty got: thirty-thirtys, but expected |thirty-thirties
kinessence got: kinessences, but expected |?
sublocus got: sublocuses, but expected |subloci
minmax got: minmaxes, but expected |?
pseudovacuum got: pseudovacuums, but expected |pseudovacua
cokriging got: cokrigings, but expected |?
fronthaul got: fronthauls, but expected |?
hyperoctahedron got: hyperoctahedrons, but expected |hyperoctahedra
paperfolding got: paperfoldings, but expected |?
blotch on the escutcheon got: blotch on the escutcheons, but expected |?
demipositivity got: demipositivities, but expected |?
paracontact got: paracontacts, but expected |?
decohesion got: decohesions, but expected |?
pruritus ani got: pruritus anis, but expected |?
electroswelling got: electroswellings, but expected |?
finitizability got: finitizabilities, but expected |?
latfield got: latfields, but expected |?
supersimplicity got: supersimplicities, but expected 
otopy got: otopies, but expected |?
overcoherence got: overcoherences, but expected |?
maid-of-all-work got: maid-of-all-works, but expected |maids-of-all-work
hypercontinuum got: hypercontinuums, but expected |hypercontinua
discman got: discmen, but expected 
nosh-up got: noshes-up, but expected 
lesser goldfinch got: lesser goldfinchs, but expected |es
enoch got: enoches, but expected 
hold-down got: holds-down, but expected 
spheropolyhedron got: spheropolyhedrons, but expected |spheropolyhedra
subminimality got: subminimalities, but expected |?
imprimitivity got: imprimitivities, but expected |?
antibiofouling got: antibiofoulings, but expected |?
delensing got: delensings, but expected |?
were-elf got: were-elfs, but expected |were-elves
magnetoshear got: magnetoshears, but expected |?
anticoherence got: anticoherences, but expected |?
homomesy got: homomesies, but expected |?
proximality got: proximalities, but expected |?
lethech got: letheches, but expected 
coradical got: coradicals, but expected |?
hapram got: haprams, but expected |?
supermomentum got: supermomentums, but expected |?
hyperhelium got: hyperheliums, but expected |?
devissage got: devissages, but expected |?
superreplication got: superreplications, but expected |?
crosswedge got: crosswedges, but expected |?
meetaversary got: meetaversaries, but expected 
mmag got: mmags, but expected |?
monodoping got: monodopings, but expected |?
gray fox got: gray foxs, but expected |es
twillbacking got: twillbackings, but expected |?
technirho got: technirhoes, but expected 
trichotrophy got: trichotrophies, but expected |?
anadenia got: anadenias, but expected |?
heteradenia got: heteradenias, but expected |?
patriarchal church got: patriarchal churchs, but expected |es
allosemitism got: allosemitisms, but expected |?
anticonfinement got: anticonfinements, but expected |?
asynchronization got: asynchronizations, but expected |?
reductivity got: reductivities, but expected |?
macroprocess got: macroprocesses, but expected |?
microprocess got: microprocesses, but expected |?
final illness got: final illnesses, but expected 
peanosphere got: peanospheres, but expected |?
provokatsiya got: provokatsiyas, but expected |?
eigenaxis got: eigenaxises, but expected |eigenaxes
eigenlocus got: eigenlocuses, but expected |eigenloci
cogonal got: cogonals, but expected |cogonales
hypercohomology got: hypercohomologies, but expected |?
hyperskewness got: hyperskewnesses, but expected |?
isogravity got: isogravities, but expected |?
isomass got: isomasses, but expected |?
quasizero got: quasizeroes, but expected |?
subtorus got: subtoruses, but expected |subtori
vibrodiffusion got: vibrodiffusions, but expected |?
asqtad got: asqtads, but expected |?
photogating got: photogatings, but expected |?
lishenets got: lishenetses, but expected |lishenets
valenok got: valenoks, but expected |valenki
